編號	人物
1	令狐沖
2	任盈盈
3	東方不敗
4	左冷禪
5	任我行
6	岳不羣
7	寧中則
8	林平之
9	岳零珊
10	儀琳
11	向問天
12	綠竹翁
13	桃谷六仙
14	藍鳳凰
15	田伯光
16	風清揚
17	方證大師
18	沖虛道長
19	莫大
20	定靜師太
21	定閒師太
22	定逸師太
23	不戒和尚
24	黃鍾公
25	黑白子
26	禿筆翁
27	丹青生
28	林遠圖
29	林震南
30	王夫人
31	史鏢頭
32	鄭鏢頭
33	富鏢頭
34	錢鏢頭
35	吳鏢頭
36	高鏢頭
37	褚鏢頭
38	崔鏢頭
39	祝鏢頭
40	季鏢頭
41	霍鏢頭
42	狄鏢頭
43	白二
44	陳七
45	林福
46	華師傅
47	黃先生
48	劉鏢頭
49	易鏢頭
50	余滄海
51	余人彥
52	賈人達
53	方人智
54	黎人才
55	彭人騏
56	侯人英
57	洪人雄
58	于人豪
59	羅人傑
60	吉人通
61	申人俊
62	皮師哥
63	蔣師哥
64	馬師哥
65	長青子
66	莫大先生
67	方千駒
68	魯連榮
69	劉正風
70	劉夫人
71	劉公子
72	劉菁
73	劉芹
74	向大年
75	米為義
76	岳肅
77	蔡子峰
78	勞德諾
79	梁發
80	施戴子
81	高根明
82	陸大有
83	陶鈞
84	英白羅
85	舒奇
86	風清揚
87	封不平
88	成不憂
89	叢不棄
90	儀光
91	儀和
92	儀清
93	儀質
94	秦絹
95	儀真
96	儀靈
97	儀文
98	鄭萼
99	于嫂
100	天門道人
101	玉磯子
102	玉磬子
103	玉音子
104	玉鐘子
105	天松道人
106	天乙道人
107	遲百城
108	建除
109	費彬
110	萬大平
111	狄修
112	丁勉
113	陸柏
114	鍾鎮
115	鄧八公
116	高克新
117	湯英鶚
118	樂厚
119	卜沉
120	沙天江
121	史登達
122	趙某
123	張某
124	司馬某
125	王元霸
126	王伯奮
127	王仲強
128	王家駒
129	王家駿
130	易師爺
131	辛國樑
132	易國梓
133	方生
134	覺月
135	黃國柏
136	方證
137	清虛
138	成高
139	鮑大楚
140	秦偉邦
141	王誠
142	桑三娘
143	綠竹翁
144	盧大哥
145	史老三
146	閔老二
147	賈布
148	上官雲
149	楊蓮亭
150	童百熊
151	包某
152	史香主
153	葛長老
154	薛某
155	杜長老
156	莫長老
157	張乘雲
158	張乘風
159	范松
160	趙鶴
161	曲洋
162	曲非煙
163	解風
164	張金鰲
165	震山子
166	譚迪人
167	夏老拳師
168	鐵老老
169	潘吼
170	白克
171	盧西思
172	張大人
173	何三七
174	聞先生
175	木高峰
176	陳歪嘴
177	平一指
178	平夫人
179	祖千秋
180	老頭子
181	諸草仙
182	計無施
183	老不死
184	白熊
185	黑熊
186	仇松年
187	張夫人
188	西寶和尚
189	玉靈道人
190	嚴三星
191	周孤桐
192	吳柏英
193	游迅
194	司馬大
195	黃伯流
196	點蒼雙劍
197	何某
198	松紋道人
199	丁堅
200	施令威
201	吳天德
202	白剝皮
203	清曉師太
204	易堂主
205	齊堂主
206	驪山仙姥
207	啞婆婆
208	青海一梟
209	于老拳師
210	趙登魁
211	郝老英雄
